name,color,width,height,rabbet,pcs,ft,condition,img_url,category
2046-2038,Beige,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/xC2pPMFQ/2046-2038.jpg,Between 1 and 2 inches
2046-BR255,Maple,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/cCDfdJ62/2046-BR255.jpg,Between 1 and 2 inches
2046C-BR268,Grey,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/VkM7MXtL/2046-C-BR268.jpg,Between 1 and 2 inches
2046C-BR309,Espresso,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/W3wWYzQk/2046-C-BR309.jpg,Between 1 and 2 inches
2046R-BR255,Walnut,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/658bWk5Z/2046-R-BR255.jpg,Between 1 and 2 inches
2046-S332,Silver,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/59pBBspg/2046-S332.jpg,Between 1 and 2 inches
2046-S345,Silver,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/MGS9YX00/2046-S345.jpg,Between 1 and 2 inches
2091ESC-BK,Black,1,1  5/8 ,1  3/8 ,20,190,closeout,https://i.postimg.cc/9fYJgV16/2091-ESC-BK.jpg,Between 1 and 2 inches
2091ESC-BR263,Gold,1,1  5/8 ,1  3/8 ,20,190,closeout,https://i.postimg.cc/9MX1vSnr/2091-ESC-BR263.jpg,Between 1 and 2 inches
2091ESC-S295,Silver,1,1  5/8 ,1  3/8 ,20,190,closeout,https://i.postimg.cc/RFPG9RkG/2091-ESC-S295.jpg,Between 1 and 2 inches
2091SC-BR263,Bronze,1,1  5/8 ,1  3/8 ,20,190,closeout,https://i.postimg.cc/x8hRNdTz/2091-SC-BR263.jpg,Between 1 and 2 inches
2162-3035,Walnut,2 15/16,1  1/8 ,  5/8 ,12,114,closeout,https://i.postimg.cc/SQvVvg7x/2162-3035.jpg,Between 2 and 3 inches
2162-BK,Black,2 15/16,1  1/8 ,  5/8 ,12,114,closeout,https://i.postimg.cc/xTNgDLty/2162-BK.jpg,Between 2 and 3 inches
60-228,Grey,2  3/8 ,1  1/16,  9/16,18,171,closeout,https://i.postimg.cc/gJ4tjdZV/60-228.jpg,Between 2 and 3 inches
996-BR208,Espresso,4,1  5/16,  3/8 ,8,76,closeout,https://i.postimg.cc/yNdzmWy7/996-BR208.jpg,Greater than 3 inches
996-S267,Burnt Silver,4,1  5/16,  3/8 ,8,76,closeout,https://i.postimg.cc/3wcQn7tm/996-S267.jpg,Greater than 3 inches
999-208,Silver,3  1/4 ,1  3/8 ,  5/8 ,10,95,closeout,https://i.postimg.cc/mZX6GLRR/999-208.jpg,Greater than 3 inches
B010-151,Walnut,2 1/2,1  7/8 ,  1/2 ,12,114,closeout,https://i.postimg.cc/jSVcsC1V/B010-151.jpg,Between 2 and 3 inches
B012E2-BR331,Chestnut,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/XYw8X4Mr/B012-E2-BR331.jpg,Between 1 and 2 inches
B012E2-BR335,Chestnut,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/zXhwP8Gx/B012-E2-BR335.jpg,Between 1 and 2 inches
B012E-BK,Black,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/L8Mtcwq2/B012E-BK.jpg,Between 1 and 2 inches
B012E-BR335,Chestnut,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/90RP2jtF/B012-E-BR335.jpg,Between 1 and 2 inches
B012R-BR249,Walnut,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 1 and 2 inches
B1006-BK,Black,1  1/4 ,1  5/8 ,1  3/8 ,20,190,closeout,https://i.postimg.cc/mD63Kr95/B1006-BK.jpg,Between 1 and 2 inches
B1103-CR16,Espresso,1  1/2 ,2  3/8 ,2,12,114,closeout,https://i.postimg.cc/tTgtr6s6/B1103-CR16.jpg,Between 1 and 2 inches
B1103-G308,Gold,1  1/2 ,2  3/8 ,2,12,114,closeout,https://i.postimg.cc/SKdf7dxq/B1103-G308.jpg,Between 1 and 2 inches
B1103-S309,Silver,1  1/2 ,2  3/8 ,2,12,114,closeout,https://i.postimg.cc/2ysQ8X2d/B1103-S309.jpg,Between 1 and 2 inches
B1105-BK,Black,3,2  1/8 ,1  5/8 ,6,57,closeout,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 2 and 3 inches
B1105SC-BR263,Bronze,3,2  1/8 ,1  5/8 ,6,57,closeout,https://i.postimg.cc/9XKtprC4/B1105-SC-BR263.jpg,Between 2 and 3 inches
B1105SC-S295,Silver,3,2  1/8 ,1  5/8 ,6,57,closeout,https://i.postimg.cc/wjcXg2JJ/B1105-SC-S295.jpg,Between 2 and 3 inches
B1106SC-BK,Black,2  1/2 ,1  1/2 ,1,9,85.5,closeout,https://i.postimg.cc/N0s1MX7n/B1106-SC-BK.jpg,Between 2 and 3 inches
B1107-BR109,Walnut,1  5/8 ,1  1/2 ,1,20,190,closeout,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 1 and 2 inches
B1107SC-BR263,Bronze,1  5/8 ,1  1/2 ,1,20,190,closeout,https://i.postimg.cc/jjMyJjMS/B1107-SC-BR263.jpg,Between 1 and 2 inches
B1108ESC-S294,Silver,2  3/4 ,1  5/8 ,1,8,76,closeout,https://i.postimg.cc/mDhC3GnN/B1108-ESC-S294.jpg,Between 2 and 3 inches
B1108SC-BR263,Bronze,2  3/4 ,1  5/8 ,1,8,76,closeout,https://i.postimg.cc/LX7fNbKd/B1108-SC-BR263.jpg,Between 2 and 3 inches
B1363-BK,Black,2 1/8,1  5/8 ,1 1/2,10,95,closeout,https://i.postimg.cc/0jwS30Pz/B1363-BK.jpg,Between 2 and 3 inches
B1363-BR299S,Espresso/Silver,2 1/8,1  5/8 ,1 1/2,10,95,closeout,https://i.postimg.cc/jCYfrnSZ/B1363-BR299-S.jpg,Between 2 and 3 inches
B1363-GN415,Green,2 1/8,1  5/8 ,1 1/2,10,95,closeout,https://i.postimg.cc/y6kP7R7d/B1363-GN41.jpg,Between 2 and 3 inches
B1365-GN415,Green,1  9/32,  7/8 ,  9/16,36,342,closeout,https://i.postimg.cc/WpC7z447/B1365-GN41.jpg,Between 1 and 2 inches
F006-167,Gold,N/A,N/A,N/A,210,1995,closeout,https://i.postimg.cc/5tsBV4GL/F006-167.jpg,Less than 1 inch
G019-CR43,Espresso,4 1/4,1  5/8 ,  3/8 ,10,95,closeout,https://i.postimg.cc/m29yHGzW/G019-CR43.jpg,Greater than 3 inches
G045-BR,Walnut,3  3/8 ,1 1/4,  3/8 ,10,95,closeout,https://i.postimg.cc/dVmR5mjW/G045-BR.jpg,Greater than 3 inches
G1000-BU,Blue,4  5/16,1  1/4 , 13/16,8,76,closeout,https://i.postimg.cc/3xHCjbm4/G1000-BU.jpg,Greater than 3 inches
G1000-GBK50,Black/Gold,4  5/16,1  1/4 , 13/16,8,76,closeout,https://i.postimg.cc/0QGktGk0/G1000-GBK50.jpg,Greater than 3 inches
G1000-SBK50,Black/Silver,4  5/16,1  1/4 , 13/16,8,76,closeout,https://i.postimg.cc/Hx1W4vgL/G1000-SBK50.jpg,Greater than 3 inches
L005S-EBK,Black,3 11/16,1  9/16,  9/16,6,57,closeout,https://i.postimg.cc/Nj4T6GQS/L005s-EBK.jpg,Greater than 3 inches
L026N-230,Silver,3  5/8,1  1/4 ,  5/16 ,10,95,closeout,https://i.postimg.cc/JhzXPwnn/L026-N-230.jpg,Greater than 3 inches
L029C-BR268,Grey,3  3/8 ,1  3/8 ,  7/8 ,8,76,closeout,https://i.postimg.cc/1RTCWkdM/L029-C-BR268.jpg,Greater than 3 inches
L042-330S,Walnut,3  1/8 ,1  7/16, 11/16,12,114,closeout,https://i.postimg.cc/RCHHPLMc/L042-330-S.jpg,Greater than 3 inches
L042-BR110,Champagne,3  1/8 ,1  7/16, 11/16,12,114,closeout,https://i.postimg.cc/8cMfjNyy/L042-BR110.jpg,Greater than 3 inches
