name,color,width,height,rabbet,pcs,ft,condition,img_url,category,mtype
2007-313,Walnut,1  1/4 , 13/16,  7/16,36,342,current,https://i.postimg.cc/FRSbFQ2p/2007-313.jpg,Between 1 and 2 inches,E
2046-2038,Beige,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/xC2pPMFQ/2046-2038.jpg,Between 1 and 2 inches,E
2046-BR255,Maple,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/cCDfdJ62/2046-BR255.jpg,Between 1 and 2 inches,E
2046-S332,Silver,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/59pBBspg/2046-S332.jpg,Between 1 and 2 inches,E
2046-S345,Silver,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/MGS9YX00/2046-S345.jpg,Between 1 and 2 inches,E
2046C-BK109,Black,2,  3/4 ,  1/2 ,18,171,current,https://i.postimg.cc/Fs8TxHZP/2046-C-BK109.jpg,Between 2 and 3 inches,E
2046C-BR268,Grey,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/VkM7MXtL/2046-C-BR268.jpg,Between 1 and 2 inches,E
2046C-BR300,Burnt,2,  3/4 ,  1/2 ,18,171,current,https://i.postimg.cc/YSw8JDTY/2046-C-BR300.jpg,Between 2 and 3 inches,E
2046C-BR309,Espresso,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/W3wWYzQk/2046-C-BR309.jpg,Between 1 and 2 inches,E
2046C-IV48,Ivory,2,  3/4 ,  1/2 ,18,171,current,https://i.postimg.cc/T2k7p9Wv/2046-C-IV48.jpg,Between 2 and 3 inches,E
2046R-BR255,Walnut,2,  3/4 ,  1/2 ,18,171,closeout,https://i.postimg.cc/658bWk5Z/2046-R-BR255.jpg,Between 1 and 2 inches,E
2046SC-BK,Black,2,  3/4 ,  1/2 ,18,171,current,https://i.postimg.cc/qRwmccbn/2046sc-BK.jpg,Between 2 and 3 inches,E
2046SC-BR109,Espresso,2,  3/4 ,  1/2 ,18,171,current,https://i.postimg.cc/QCMffBwz/2046sc-BR109.jpg,Between 2 and 3 inches,E
2046SC-BR263,Bronze,2,  3/4 ,  1/2 ,18,171,current,https://i.postimg.cc/rmVjp0Vp/2046-SC-BR263.jpg,Between 2 and 3 inches,E
2046SC-S280,Silver,2,  3/4 ,  1/2 ,18,171,current,https://i.postimg.cc/BvcNscGy/2046sc-S280.jpg,Between 2 and 3 inches,E
2046SC-S295,Silver,2,  3/4 ,  1/2 ,18,171,current,https://i.postimg.cc/LXxTg953/2046-SC-S295.jpg,Between 2 and 3 inches,E
2091-3043,Bronze,1,1  5/8 ,1  3/8 ,20,190,current,https://i.postimg.cc/fyFf58x3/2091-3043.jpg,Between 1 and 2 inches,E
2091-W4,White,1,1  5/8 ,1  3/8 ,20,190,current,https://i.postimg.cc/FKZbwryX/2091-W4.jpg,Between 1 and 2 inches,E
2091-Y4,Barn Wood,1,1  5/8 ,1  3/8 ,20,190,current,https://i.postimg.cc/3RxjTs14/2091-Y4.jpg,Between 1 and 2 inches,E
2091-Y5,Sand,1,1  5/8 ,1  3/8 ,20,190,current,https://i.postimg.cc/d1N2t5NW/2091-Y5.jpg,Between 1 and 2 inches,E
2091ESC-BK,Black,1,1  5/8 ,1  3/8 ,20,190,closeout,https://i.postimg.cc/9fYJgV16/2091-ESC-BK.jpg,Between 1 and 2 inches,E
2091ESC-BR109,Walnut,1,1  5/8 ,1  3/8 ,20,190,current,https://i.postimg.cc/c15hsLVs/2091-ESC-BR109.jpg,Between 1 and 2 inches,E
2091ESC-BR263,Gold,1,1  5/8 ,1  3/8 ,20,190,closeout,https://i.postimg.cc/9MX1vSnr/2091-ESC-BR263.jpg,Between 1 and 2 inches,E
2091ESC-S295,Silver,1,1  5/8 ,1  3/8 ,20,190,closeout,https://i.postimg.cc/RFPG9RkG/2091-ESC-S295.jpg,Between 1 and 2 inches,E
2091SC-BK,Black,1,1  5/8 ,1  3/8 ,20,190,current,https://i.postimg.cc/DyJgmKT1/2091-SC-BK.jpg,Between 1 and 2 inches,E
2091SC-BR109,Walnut,1,1  5/8 ,1  3/8 ,20,190,current,https://i.postimg.cc/ncy1DwFg/2091-SC-BR109.jpg,Between 1 and 2 inches,E
2091SC-BR263,Bronze,1,1  5/8 ,1  3/8 ,20,190,closeout,https://i.postimg.cc/x8hRNdTz/2091-SC-BR263.jpg,Between 1 and 2 inches,E
2091SC-S295,Silver,1,1  5/8 ,1  3/8 ,20,190,current,https://i.postimg.cc/tgytrZVz/2091-SC-S295.jpg,Between 1 and 2 inches,E
2162-3035,Walnut,2 15/16,1  1/8 ,  5/8 ,12,114,closeout,https://i.postimg.cc/SQvVvg7x/2162-3035.jpg,Between 2 and 3 inches,E
2162-79831-1,Walnut,2 15/16,1  1/8 ,  5/8 ,12,114,current,https://i.postimg.cc/3Nygy2P3/2162-79831-1.jpg,Between 2 and 3 inches,E
2162-BK,Black,2 15/16,1  1/8 ,  5/8 ,12,114,closeout,https://i.postimg.cc/xTNgDLty/2162-BK.jpg,Between 2 and 3 inches,E
2162-BR110,Champagne,2 15/16,1  1/8 ,  5/8 ,12,114,current,https://i.postimg.cc/9F7dCtdp/2162-BR110.jpg,Between 2 and 3 inches,E
293-103,Gold,3  3/8 ,1  3/8 ,  5/8 ,8,76,current,https://i.postimg.cc/XJLfxvmH/293-103-Edit.jpg,Greater than 3 inches,E
293-S28,Silver,3  3/8 ,1  3/8 ,  5/8 ,8,76,current,https://i.postimg.cc/R0cQ6dRz/293-S28-B-edit.jpg,Greater than 3 inches,E
60-228,Grey,2  3/8 ,1  1/16,  9/16,18,171,closeout,https://i.postimg.cc/gJ4tjdZV/60-228.jpg,Between 2 and 3 inches,E
60-312,Walnut,2  3/8 ,1  1/16,  9/16,18,171,current,https://i.postimg.cc/mk68JLGg/60-312.jpg,Between 2 and 3 inches,E
60-313,Walnut,2  3/8 ,1  1/16,  9/16,18,171,current,https://i.postimg.cc/0jyb0MsQ/60-313.jpg,Between 2 and 3 inches,E
996-BR208,Espresso,4,1  5/16,  3/8 ,8,76,closeout,https://i.postimg.cc/yNdzmWy7/996-BR208.jpg,Greater than 3 inches,E
996-S267,Burnt Silver,4,1  5/16,  3/8 ,8,76,closeout,https://i.postimg.cc/3wcQn7tm/996-S267.jpg,Greater than 3 inches,E
999-208,Silver,3  1/4 ,1  3/8 ,  5/8 ,10,95,closeout,https://i.postimg.cc/mZX6GLRR/999-208.jpg,Greater than 3 inches,E
B006S-BK,Black,1  1/2 ,1  1/2 ,  3/8 ,24,228,current,https://i.postimg.cc/brK11shk/B006s-BK.jpg,Between 1 and 2 inches,B
B006S-S42,Silver,1  1/2 ,1  1/2 ,  3/8 ,24,228,current,https://i.postimg.cc/kMZQ0hbG/B006s-S42.jpg,Between 1 and 2 inches,B
B010-151,Walnut,2 1/2,1  7/8 ,  1/2 ,12,114,closeout,https://i.postimg.cc/jSVcsC1V/B010-151.jpg,Between 2 and 3 inches,B
B012-3043,Espresso,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/9QHGMR1j/B012-3043.jpg,Between 1 and 2 inches,B
B012-BK,Black,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/rwG5tVYR/B012-BK.jpg,Between 1 and 2 inches,B
B012-BKP,Black,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/rpQWQhT8/B012-BKP.jpg,Between 1 and 2 inches,B
B012-W4,White,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/Kcd9PYQ0/B012-W4.jpg,Between 1 and 2 inches,B
B012-Y4,Barn Wood,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/RVKgXzD4/B012-Y4.jpg,Between 1 and 2 inches,B
B012-Y5,Sand,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/K8bJWs6L/B012-Y5.jpg,Between 1 and 2 inches,B
B012E-BK,Black,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/L8Mtcwq2/B012E-BK.jpg,Between 1 and 2 inches,B
B012E-BK92,Black,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/FH41TBm8/B012-E-BK92.jpg,Between 1 and 2 inches,B
B012E-BR202,Bronze,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/SK9F4nNv/B012-E-BR202.jpg,Between 1 and 2 inches,B
B012E-BR335,Chestnut,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/90RP2jtF/B012-E-BR335.jpg,Between 1 and 2 inches,B
B012E-S257,Silver,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/85V8zT7P/B012-E-S257.jpg,Between 1 and 2 inches,B
B012E2-BR330,Beige,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/W42gGBQW/B012-E-330-1.jpg,Between 1 and 2 inches,B
B012E2-BR331,Chestnut,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/XYw8X4Mr/B012-E2-BR331.jpg,Between 1 and 2 inches,B
B012E2-BR335,Chestnut,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/zXhwP8Gx/B012-E2-BR335.jpg,Between 1 and 2 inches,B
B012ESC-BK,Black,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/pTrj7DVK/B012-ESC-BK.jpg,Between 1 and 2 inches,B
B012ESC-BR109,Walnut,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/C128VzdX/B012-ESC-BR109.jpg,Between 1 and 2 inches,B
B012ESC-BR263,Bronze,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/c6y8r2Rc/B012-ESC-BR263.jpg,Between 1 and 2 inches,B
B012ESC-S295,Silver,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/90q7XC7M/B012-ESC-S295.jpg,Between 1 and 2 inches,B
B012R-BR247,Grey,1  3/4 ,1  5/8 ,1,12,114,current,https://i.postimg.cc/XvhCDfdL/B012-R-BR247.jpg,Greater than 3 inches,B
B012R-BR249,Walnut,1  3/4 ,1  5/8 ,1,12,114,closeout,https://i.postimg.cc/G2yy04jC/B012-R-BR249.jpg,Between 1 and 2 inches,B
B027-1057,Gold,1  3/8 ,1  3/8 ,1  1/16,15,142.5,current,https://i.postimg.cc/HWJZ8M0J/B027-1057.jpg,Between 1 and 2 inches,B
B027-1058,Silver,1  3/8 ,1  3/8 ,1  1/16,15,142.5,current,https://i.postimg.cc/JzQPC58F/B027-1058.jpg,Between 1 and 2 inches,B
