name,color,width,height,rabbet,pcs,ft,condition,img_url
2007-313,N/A,1  1/4 , 13/16,  7/16,36,342,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
2046C-BK109,Black,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/Fs8TxHZP/2046-C-BK109.jpg
2046C-BR300,Burnt,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/YSw8JDTY/2046-C-BR300.jpg
2046C-IV48,Ivory,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/T2k7p9Wv/2046-C-IV48.jpg
2046SC-BK,Black,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/qRwmccbn/2046sc-BK.jpg
2046SC-BR109,Espresso,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/QCMffBwz/2046sc-BR109.jpg
2046SC-BR263,Bronze,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/rmVjp0Vp/2046-SC-BR263.jpg
2046SC-S280,Silver,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/BvcNscGy/2046sc-S280.jpg
2046SC-S295,Silver,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/LXxTg953/2046-SC-S295.jpg
2091-3043,Bronze,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/fyFf58x3/2091-3043.jpg
2091ESC-BR109,Walnut,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/c15hsLVs/2091-ESC-BR109.jpg
2091SC-BK,Black,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/DyJgmKT1/2091-SC-BK.jpg
2091SC-BR109,Walnut,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/ncy1DwFg/2091-SC-BR109.jpg
2091SC-S295,Silver,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/tgytrZVz/2091-SC-S295.jpg
2091-W4,White,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/FKZbwryX/2091-W4.jpg
2091-Y4,Barn Wood,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/3RxjTs14/2091-Y4.jpg
2091-Y5,Sand,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/d1N2t5NW/2091-Y5.jpg
2162-79831-1,Walnut,2 15/16,1  1/8 ,  5/8 ,12,114,N/A,https://i.postimg.cc/3Nygy2P3/2162-79831-1.jpg
2162-BR110,Champagne,2 15/16,1  1/8 ,  5/8 ,12,114,N/A,https://i.postimg.cc/9F7dCtdp/2162-BR110.jpg
293-103,Gold,3  3/8 ,1  3/8 ,  5/8 ,8,76,N/A,https://i.postimg.cc/c4rDYnQg/293-103.jpg
293-S28,Silver,3  3/8 ,1  3/8 ,  5/8 ,8,76,N/A,https://i.postimg.cc/vZn32w2G/293-S28-B.jpg
60-312,Walnut,2  3/8 ,1  1/16,  9/16,18,171,N/A,https://i.postimg.cc/mk68JLGg/60-312.jpg
60-313,N/A,2  3/8 ,1  1/16,  9/16,18,171,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
B006S-BK,Black,1  1/2 ,1  1/2 ,  3/8 ,24,228,N/A,https://i.postimg.cc/brK11shk/B006s-BK.jpg
B006S-S42,Silver,1  1/2 ,1  1/2 ,  3/8 ,24,228,N/A,https://i.postimg.cc/kMZQ0hbG/B006s-S42.jpg
B012-3043,Espresso,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/9QHGMR1j/B012-3043.jpg
B012-BK,Black,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/rwG5tVYR/B012-BK.jpg
B012-BKP,Black,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/rpQWQhT8/B012-BKP.jpg
B012E2-BR330,Beige,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/W42gGBQW/B012-E-330-1.jpg
B012E-BK92,Black,1  3/4 ,1  5/8 ,1,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
B012E-BR202,Bronze,1  3/4 ,1  5/8 ,1,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
B012E-S257,Silver,1  3/4 ,1  5/8 ,1,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
B012ESC-BK,Black,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/pTrj7DVK/B012-ESC-BK.jpg
B012ESC-BR109,Walnut,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/C128VzdX/B012-ESC-BR109.jpg
B012ESC-BR263,Bronze,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/c6y8r2Rc/B012-ESC-BR263.jpg
B012ESC-S295,Silver,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/90q7XC7M/B012-ESC-S295.jpg
B012R-BR247,,N/A,N/A,N/A,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
B012-W4,White,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/Kcd9PYQ0/B012-W4.jpg
B012-Y4,Barn Wood,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/RVKgXzD4/B012-Y4.jpg
B012-Y5,Sand,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/K8bJWs6L/B012-Y5.jpg
B027-1057,Gold,1  3/8 ,1  3/8 ,1  1/16,15,142.5,N/A,https://i.postimg.cc/HWJZ8M0J/B027-1057.jpg
B027-1058,Silver,1  3/8 ,1  3/8 ,1  1/16,15,142.5,N/A,https://i.postimg.cc/JzQPC58F/B027-1058.jpg
B1006-BR109,Espresso,1  1/4 ,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/5t7g696q/B1006-BR109.jpg
B1006-S280,Silver,1  1/4 ,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/6Q5zW45p/B1006-S280.jpg
B1103-BK,Black,  1/2 ,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/3RkBpMGM/B1103-BK.jpg
B1103-BR109,,N/A,2  3/8 ,2,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
B1103-BR263,Bronze,2,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/D0sPjq5B/B1103-BR263.jpg
B1103-S295,Silver,  1/2 ,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/0QhC0tGz/B1103-S295.jpg
B1105SC-BR109,Walnut,3,2  1/8 ,1  5/8 ,6,57,N/A,https://i.postimg.cc/BZ1pn0sH/B1105-SC-BR109.jpg
B1106SC-BR109,Walnut,2  1/2 ,1  1/2 ,1,9,85.5,N/A,https://i.postimg.cc/ZKtc9MKg/B1106-SC-BR109.jpg
B1106SC-BR263,Bronze,2  1/2 ,1  1/2 ,1,9,85.5,N/A,https://i.postimg.cc/8PRbLm7C/B1106-SC-BR263.jpg
B1106SC-S295,Silver,2  1/2 ,1  1/2 ,1,9,85.5,N/A,https://i.postimg.cc/0y90nKS0/B1106-SC-S295.jpg
B1107SC-BK,Black,1  5/8 ,1  1/2 ,1,20,190,N/A,https://i.postimg.cc/QdSkyNkG/B1107-SC-BK.jpg
B1107SC-BR109,Walnut,1  5/8 ,1  1/2 ,1,20,190,N/A,https://i.postimg.cc/QMtkGL0B/B1107-SC-BR109.jpg
