name,color,width,height,rabbet,pcs,ft,condition,img_url,category
2007-313,N/A,1  1/4 , 13/16,  7/16,36,342,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 1 and 2 inches
2046C-BK109,Black,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/Fs8TxHZP/2046-C-BK109.jpg,Between 2 and 3 inches
2046C-BR300,Burnt,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/YSw8JDTY/2046-C-BR300.jpg,Between 2 and 3 inches
2046C-IV48,Ivory,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/T2k7p9Wv/2046-C-IV48.jpg,Between 2 and 3 inches
2046SC-BK,Black,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/qRwmccbn/2046sc-BK.jpg,Between 2 and 3 inches
2046SC-BR109,Espresso,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/QCMffBwz/2046sc-BR109.jpg,Between 2 and 3 inches
2046SC-BR263,Bronze,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/rmVjp0Vp/2046-SC-BR263.jpg,Between 2 and 3 inches
2046SC-S280,Silver,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/BvcNscGy/2046sc-S280.jpg,Between 2 and 3 inches
2046SC-S295,Silver,2,  3/4 ,  1/2 ,18,171,N/A,https://i.postimg.cc/LXxTg953/2046-SC-S295.jpg,Between 2 and 3 inches
2091-3043,Bronze,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/fyFf58x3/2091-3043.jpg,Between 1 and 2 inches
2091ESC-BR109,Walnut,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/c15hsLVs/2091-ESC-BR109.jpg,Between 1 and 2 inches
2091SC-BK,Black,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/DyJgmKT1/2091-SC-BK.jpg,Between 1 and 2 inches
2091SC-BR109,Walnut,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/ncy1DwFg/2091-SC-BR109.jpg,Between 1 and 2 inches
2091SC-S295,Silver,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/tgytrZVz/2091-SC-S295.jpg,Between 1 and 2 inches
2091-W4,White,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/FKZbwryX/2091-W4.jpg,Between 1 and 2 inches
2091-Y4,Barn Wood,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/3RxjTs14/2091-Y4.jpg,Between 1 and 2 inches
2091-Y5,Sand,1,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/d1N2t5NW/2091-Y5.jpg,Between 1 and 2 inches
2162-79831-1,Walnut,2 15/16,1  1/8 ,  5/8 ,12,114,N/A,https://i.postimg.cc/3Nygy2P3/2162-79831-1.jpg,Between 2 and 3 inches
2162-BR110,Champagne,2 15/16,1  1/8 ,  5/8 ,12,114,N/A,https://i.postimg.cc/9F7dCtdp/2162-BR110.jpg,Between 2 and 3 inches
293-103,Gold,3  3/8 ,1  3/8 ,  5/8 ,8,76,N/A,https://i.postimg.cc/XJLfxvmH/293-103-Edit.jpg,Greater than 3 inches
293-S28,Silver,3  3/8 ,1  3/8 ,  5/8 ,8,76,N/A,https://i.postimg.cc/R0cQ6dRz/293-S28-B-edit.jpg,Greater than 3 inches
60-312,Walnut,2  3/8 ,1  1/16,  9/16,18,171,N/A,https://i.postimg.cc/mk68JLGg/60-312.jpg,Between 2 and 3 inches
60-313,N/A,2  3/8 ,1  1/16,  9/16,18,171,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 2 and 3 inches
B006S-BK,Black,1  1/2 ,1  1/2 ,  3/8 ,24,228,N/A,https://i.postimg.cc/brK11shk/B006s-BK.jpg,Between 1 and 2 inches
B006S-S42,Silver,1  1/2 ,1  1/2 ,  3/8 ,24,228,N/A,https://i.postimg.cc/kMZQ0hbG/B006s-S42.jpg,Between 1 and 2 inches
B012-3043,Espresso,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/9QHGMR1j/B012-3043.jpg,Between 1 and 2 inches
B012-BK,Black,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/rwG5tVYR/B012-BK.jpg,Between 1 and 2 inches
B012-BKP,Black,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/rpQWQhT8/B012-BKP.jpg,Between 1 and 2 inches
B012E2-BR330,Beige,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/W42gGBQW/B012-E-330-1.jpg,Between 1 and 2 inches
B012E-BK92,Black,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 1 and 2 inches
B012E-BR202,Bronze,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 1 and 2 inches
